Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.10.20.48     YES NVRAM  up                    up      
GigabitEthernet1.900   unassigned      YES unset  deleted               down    
GigabitEthernet2       unassigned      YES unset  up                    up      
GigabitEthernet2.900   unassigned      YES unset  administratively down down    
GigabitEthernet3       unassigned      YES NVRAM  administratively down down    
Loopback0              unassigned      YES unset  up                    up      
Loopback10             192.168.10.10   YES manual up                    up      
Loopback11             192.168.11.11   YES manual up                    up      
Loopback12             192.168.12.12   YES manual up                    up      
Loopback21             unassigned      YES unset  up                    up      
Loopback33             192.168.33.33   YES manual up                    up      
Loopback34             192.168.34.34   YES manual up                    up      
Loopback45             5.5.5.5         YES manual up                    up      
Loopback100            100.2.3.4       YES other  up                    up      
Loopback102            unassigned      YES unset  up                    up      
Loopback200            unassigned      YES unset  up                    up      
